Kod pocztowy,Powiat,Gmina
26-212,konecki,Smyków
27-540,opatowski,Lipnik
27-500,opatowski,Opatów
27-230,starachowicki,Brody
62-590,koniński,Golina
62-513,koniński,Krzymów
05-651,grójecki,Chynów
05-650,grójecki,Chynów
05-152,nowodworski,Czosnów
96-320,żyrardowski,Mszczonów
22-335,krasnostawski,Żółkiewka
37-534,przeworski,Adamówka
28-236,staszowski,Rytwiany
96-325,żyrardowski,Radziejowice
22-200,włodawski,Wyryki
07-120,węgrowski,Korytnica
05-281,wołomiński,Jadów
18-525,kolneński,Turośl
07-230,wyszkowski,Zabrodzie
22-546,hrubieszowski,Werbkowice
24-350,opolski,Chodel
97-330,piotrkowski,Sulejów
26-260,konecki,Fałków
22-130,chełmski,Siedliszcze
26-670,radomski,Pionki
97-340,piotrkowski,Rozprza
62-068,grodziski,Rakoniewice
95-100,zgierski,Zgierz
08-322,sokołowski,Ceranów
26-330,opoczyński,Żarnów
23-230,kraśnicki,Trzydnik Duży
37-450,stalowowolski,Zaleszany
87-890,włocławski,Lubraniec
09-227,sierpecki,Szczutowo
97-212,tomaszowski,Budziszewice
16-424,suwalski,Filipów
37-734,przemyski,Fredropol
26-067,kielecki,Strawczyn
62-065,grodziski,Grodzisk Wielkopolski
21-013,łęczyński,Puchaczów
95-083,pabianicki,Lutomiersk
97-217,tomaszowski,Lubochnia
97-221,tomaszowski,Rokiciny
42-165,kłobucki,Lipie
62-700,turecki,Turek
37-122,łańcucki,Łańcut
95-015,zgierski,Głowno
08-122,siedlecki,Kotuń
08-330,sokołowski,Kosów Lacki
23-450,biłgorajski,Goraj
95-035,zgierski,Ozorków
05-192,płoński,Nowe Miasto
09-120,płoński,Nowe Miasto
96-330,żyrardowski,Puszcza Mariańska
42-274,częstochowski,Konopiska
62-874,kaliski,Brzeziny
22-360,chełmski,Rejowiec
56-160,wołowski,Wińsko
32-084,krakowski,Zabierzów
86-022,bydgoski,Dobrcz
87-880,włocławski,Brześć Kujawski
88-192,żniński,Barcin
07-402,ostrołęcki,Lelis
07-405,ostrołęcki,Troszyn
09-440,płocki,Staroźreby
06-330,przasnyski,Chorzele
16-503,sejneński,Krasnopol
17-315,siemiatycki,Grodzisk
16-423,suwalski,Bakałarzewo
12-250,piski,Orzysz
63-800,gostyński,Gostyń
64-308,grodziski,Rakoniewice
64-400,międzychodzki,Międzychód
62-120,wągrowiecki,Wapno
23-408,biłgorajski,Aleksandrów
23-275,kraśnicki,Gościeradów
21-400,łukowski,Łuków
21-421,łukowski,Stanin
97-438,bełchatowski,Rusiec
99-307,kutnowski,Strzelce
99-319,kutnowski,Żychlin
26-337,piotrkowski,Aleksandrów
97-360,radomszczański,Kamieńsk
96-230,rawski,Biała Rawska
97-225,tomaszowski,Ujazd
26-811,białobrzeski,Wyśmierzyce
08-450,garwoliński,Łaskarzew
09-540,gostyniński,Sanniki
05-652,grójecki,Pniewy
26-910,kozienicki,Magnuszew
05-126,legionowski,Nieporęt
27-350,lipski,Sienno
05-306,miński,Jakubów
05-530,piaseczyński,Góra Kalwaria
26-630,radomski,Jedlnia-Letnisko
96-521,sochaczewski,Iłów
96-514,sochaczewski,Rybno
26-510,szydłowiecki,Chlewiska
96-317,żyrardowski,Wiskitki
46-320,oleski,Praszka
42-230,częstochowski,Koniecpol
42-140,kłobucki,Panki
28-340,jędrzejowski,Sędziszów
28-425,pińczowski,Pińczów
62-831,kaliski,Mycielin
62-652,kolski,Chodów
63-040,średzki,Nowe Miasto nad Wartą
62-731,turecki,Przykona
87-700,aleksandrowski,Aleksandrów Kujawski
95-070,zgierski,Aleksandrów Łódzki
98-100,łaski,Łask
99-150,łęczycki,Grabów
99-200,poddębicki,Poddębice
62-580,koniński,Grodziec
21-570,bialski,Drelów
22-107,chełmski,Sawin
23-320,janowski,Batorz
21-140,lubartowski,Michów
21-450,łukowski,Stoczek Łukowski
99-321,kutnowski,Żychlin
05-622,grójecki,Belsk Duży
26-900,kozienicki,Kozienice
05-311,miński,Dębe Wielkie
07-110,węgrowski,Grębków
26-720,zwoleński,Policzna
16-411,suwalski,Szypliszki
42-248,częstochowski,Przyrów
62-600,kolski,Koło
09-500,gostyniński,Gostynin
16-060,białostocki,Zabłudów
16-506,sejneński,Giby
05-604,grójecki,Jasieniec
98-105,łaski,Wodzierady
26-333,opoczyński,Paradyż
99-232,poddębicki,Zadzim
09-533,płocki,Słubice
39-460,tarnobrzeski,Nowa Dęba
62-540,koniński,Kleczew
22-122,chełmski,Leśniowice
22-550,hrubieszowski,Werbkowice
27-100,radomski,Iłża
88-210,radziejowski,Dobre
96-500,sochaczewski,Sochaczew
66-439,sulęciński,Krzeszyce
32-566,chrzanowski,Alwernia
47-494,raciborski,Pietrowice Wielkie
99-122,łęczycki,Góra Świętej Małgorzaty
27-225,starachowicki,Pawłów
21-132,lubartowski,Kamionka
21-220,parczewski,Siemień
97-500,radomszczański,Radomsko
06-212,makowski,Krasnosielc
26-001,kielecki,Masłów
89-200,nakielski,Szubin
22-530,hrubieszowski,Mircze
46-300,oleski,Olesno
11-015,olsztyński,Olsztynek
95-045,zgierski,Parzęczew
62-436,słupecki,Powidz
97-400,bełchatowski,Bełchatów
09-541,gostyniński,Pacyna
17-210,hajnowski,Narew
95-020,łódzki wschodni,Andrespol
27-650,sandomierski,Samborzec
34-120,wadowicki,Andrychów
18-507,kolneński,Grabowo
17-111,bielski,Boćki
07-305,ostrowski,Andrzejewo
18-400,łomżyński,Łomża
07-407,ostrołęcki,Czerwin
22-113,chełmski,Kamień
23-302,janowski,Godziszów
22-234,włodawski,Urszulin
98-432,wieruszowski,Łubnice
98-220,zduńskowolski,Zduńska Wola
05-088,sochaczewski,Brochów
26-704,zwoleński,Przyłęk
23-400,biłgorajski,Biłgoraj
33-370,nowosądecki,Muszyna
14-400,elbląski,Pasłęk
89-620,chojnicki,Chojnice
05-300,miński,Mińsk Mazowiecki
62-510,koniński,Kramsk
87-327,brodnicki,Bobrowo
62-543,koniński,Kazimierz Biskupi
62-410,słupecki,Zagórów
87-851,włocławski,Boniewo
23-235,kraśnicki,Annopol
24-100,puławski,Puławy
99-306,kutnowski,Łanięta
26-315,opoczyński,Poświętne
97-525,radomszczański,Wielgomłyny
98-313,wieluński,Konopnica
95-010,zgierski,Stryków
26-930,kozienicki,Garbatka-Letnisko
