TERYT,Województwo,Powiat,Gmina,RAZEM Pożar (P),Mały (P/M),Średni (P/Ś),Duży (P/D),Bardzo duży (P/BD),RAZEM Miejscowe zagrożenie (MZ),Małe (MZ/M),Lokalne (MZ/L),Średnie (MZ/Ś),Duże (MZ/D),Gigantyczne lub klęska żywiołowa (MZ/K),RAZEM Alarm fałszywy (AF),Złośliwy (A/Z),W dobrej wierze (A/DW),Z instalacji wykrywania (A/IW),OGÓŁEM
20101,dolnośląskie,bolesławiecki,Bolesławiec,79,77,2,0,0,366,53,294,18,1,0,61,9,37,15,506
20102,dolnośląskie,bolesławiecki,Bolesławiec,75,73,2,0,0,427,67,333,22,5,0,23,1,17,5,525
20103,dolnośląskie,bolesławiecki,Gromadka,66,63,2,1,0,77,10,63,3,1,0,10,0,7,3,153
20104,dolnośląskie,bolesławiecki,Nowogrodziec,155,149,6,0,0,197,23,164,8,2,0,18,2,16,0,370
20105,dolnośląskie,bolesławiecki,Osiecznica,41,41,0,0,0,98,11,85,2,0,0,14,0,9,5,153
20106,dolnośląskie,bolesławiecki,Warta Bolesławiecka,52,50,2,0,0,81,8,69,4,0,0,16,0,8,8,149
20201,dolnośląskie,dzierżoniowski,Bielawa,74,71,2,1,0,165,40,121,4,0,0,19,1,14,4,258
20202,dolnośląskie,dzierżoniowski,Dzierżoniów,83,83,0,0,0,288,80,201,6,1,0,47,6,27,14,418
20203,dolnośląskie,dzierżoniowski,Pieszyce,26,25,1,0,0,139,23,115,1,0,0,4,1,3,0,169
20204,dolnośląskie,dzierżoniowski,Piława Górna,15,15,0,0,0,46,7,36,3,0,0,2,0,2,0,63
20205,dolnośląskie,dzierżoniowski,Dzierżoniów,28,28,0,0,0,229,36,183,10,0,0,8,1,7,0,265
20206,dolnośląskie,dzierżoniowski,Łagiewniki,58,55,3,0,0,68,7,58,3,0,0,7,1,6,0,133
20207,dolnośląskie,dzierżoniowski,Niemcza,18,18,0,0,0,67,8,55,4,0,0,6,1,4,1,91
20301,dolnośląskie,głogowski,Głogów,200,195,4,1,0,371,15,330,17,9,0,123,2,114,7,694
20302,dolnośląskie,głogowski,Głogów,39,34,5,0,0,73,1,70,2,0,0,14,0,13,1,126
20303,dolnośląskie,głogowski,Jerzmanowa,16,16,0,0,0,65,0,61,3,1,0,5,0,4,1,86
20304,dolnośląskie,głogowski,Kotla,24,23,1,0,0,33,0,25,8,0,0,2,0,2,0,59
20305,dolnośląskie,głogowski,Pęcław,7,7,0,0,0,29,1,19,7,2,0,2,0,2,0,38
20306,dolnośląskie,głogowski,Żukowice,17,16,1,0,0,49,0,38,9,2,0,10,0,9,1,76
20401,dolnośląskie,górowski,Góra,85,82,2,0,1,223,55,160,8,0,0,10,0,9,1,318
20402,dolnośląskie,górowski,Jemielno,14,12,2,0,0,61,21,36,3,1,0,1,0,1,0,76
20403,dolnośląskie,górowski,Niechlów,19,17,2,0,0,126,62,54,9,1,0,2,0,2,0,147
20404,dolnośląskie,górowski,Wąsosz,33,28,4,1,0,93,21,70,2,0,0,6,0,5,1,132
20501,dolnośląskie,jaworski,Jawor,41,40,1,0,0,287,110,172,5,0,0,31,0,27,4,359
20502,dolnośląskie,jaworski,Bolków,57,56,1,0,0,368,47,315,6,0,0,24,2,22,0,449
20503,dolnośląskie,jaworski,Męcinka,32,31,1,0,0,155,30,123,2,0,0,7,0,7,0,194
20504,dolnośląskie,jaworski,Mściwojów,24,24,0,0,0,81,15,65,1,0,0,8,1,7,0,113
20505,dolnośląskie,jaworski,Paszowice,15,14,1,0,0,127,14,112,1,0,0,5,0,5,0,147
